Date,Water Level
2/1/2005,67.09
2/23/2005,67.01
2/24/2005,67.05
2/25/2005,66.99
2/26/2005,66.97
2/27/2005,67.11
2/28/2005,67.17
3/1/2005,67.13
3/2/2005,67.05
3/3/2005,67.04
3/4/2005,67.06
3/5/2005,67.08
3/6/2005,67.06
3/7/2005,67.07
3/8/2005,67.18
3/9/2005,67.05
3/10/2005,67.09
3/11/2005,67.12
3/12/2005,67.07
3/13/2005,67.06
3/14/2005,67.07
3/15/2005,67.04
3/16/2005,67.07
3/17/2005,67.12
3/18/2005,67.15
3/19/2005,67.17
3/20/2005,67.17
3/21/2005,67.17
3/22/2005,67.2
3/23/2005,67.28
3/24/2005,67.23
3/25/2005,67.25
3/26/2005,67.32
3/27/2005,67.37
3/28/2005,67.46
3/29/2005,67.32
3/30/2005,67.28
3/31/2005,67.25
4/1/2005,67.26
4/2/2005,67.29
4/3/2005,67.17
4/4/2005,67.13
4/5/2005,67.11
4/6/2005,67.09
4/7/2005,67.12
4/8/2005,67.08
4/9/2005,67.03
4/10/2005,66.98
4/11/2005,66.99
4/12/2005,66.99
4/13/2005,67.01
4/14/2005,66.89
4/15/2005,66.82
4/16/2005,66.79
4/17/2005,66.81
4/18/2005,66.8
4/19/2005,66.81
4/20/2005,66.8
4/21/2005,66.8
4/22/2005,66.81
4/23/2005,66.81
4/24/2005,66.8
4/25/2005,66.76
4/26/2005,66.78
4/27/2005,66.84
4/28/2005,66.76
4/29/2005,66.78
4/30/2005,66.76
5/1/2005,66.76
5/2/2005,66.74
5/3/2005,66.73
5/4/2005,66.74
5/5/2005,66.82
5/6/2005,66.82
5/7/2005,66.83
5/8/2005,66.83
5/9/2005,66.83
5/10/2005,66.81
5/11/2005,66.8
5/12/2005,66.78
5/13/2005,66.75
5/14/2005,66.75
5/15/2005,66.75
5/16/2005,66.74
5/17/2005,66.75
5/18/2005,66.72
5/19/2005,66.7
5/20/2005,66.72
5/21/2005,66.7
5/22/2005,66.67
5/23/2005,66.7
5/24/2005,66.72
5/25/2005,66.62
5/26/2005,66.59
5/27/2005,66.58
5/28/2005,66.62
5/29/2005,66.59
5/30/2005,66.58
5/31/2005,66.72
6/1/2005,66.77
6/2/2005,66.76
6/3/2005,66.74
6/4/2005,66.76
6/5/2005,66.74
6/6/2005,66.76
6/7/2005,66.74
6/8/2005,66.74
6/9/2005,66.75
6/10/2005,66.75
6/11/2005,66.84
6/12/2005,66.96
6/13/2005,67.15
6/14/2005,67.15
6/15/2005,67.14
6/16/2005,67.12
6/17/2005,67.09
6/18/2005,67.05
6/19/2005,67.01
6/20/2005,66.99
6/21/2005,66.98
6/22/2005,66.97
6/23/2005,67.01
6/24/2005,66.98
6/25/2005,66.98
6/26/2005,66.99
6/27/2005,66.98
6/28/2005,67.09
6/29/2005,67.15
6/30/2005,67.16
7/1/2005,67.17
7/2/2005,67.18
7/3/2005,67.16
7/4/2005,67.13
7/5/2005,67.1
7/6/2005,67.09
7/7/2005,67.06
7/8/2005,67.03
7/9/2005,67.06
7/10/2005,67.17
7/11/2005,67.18
7/12/2005,67.16
7/13/2005,67.14
7/14/2005,67.12
7/15/2005,67.12
7/16/2005,67.09
7/17/2005,67.06
7/18/2005,67.04
7/19/2005,67.04
7/20/2005,67.02
7/21/2005,67.01
7/22/2005,67
7/23/2005,67
7/24/2005,66.93
7/25/2005,66.88
7/26/2005,66.89
7/27/2005,66.87
7/28/2005,66.84
7/29/2005,66.87
7/30/2005,66.89
7/31/2005,66.93
8/1/2005,67.06
8/2/2005,67.1
8/3/2005,67.09
8/4/2005,67.1
8/5/2005,67.16
8/6/2005,67.15
8/7/2005,67.15
8/8/2005,67.17
8/9/2005,67.15
8/10/2005,67.12
8/11/2005,67.1
8/12/2005,67.09
8/13/2005,67.06
8/14/2005,67.04
8/15/2005,67.04
8/16/2005,67.02
8/17/2005,67.02
8/18/2005,67.01
8/19/2005,67
8/20/2005,67.02
8/21/2005,67.05
8/22/2005,67.04
8/23/2005,66.99
8/24/2005,66.97
8/25/2005,66.91
8/26/2005,66.93
8/27/2005,66.92
8/28/2005,66.93
8/29/2005,66.94
8/30/2005,66.92
8/31/2005,66.89
9/1/2005,66.88
9/2/2005,66.88
9/3/2005,66.87
9/4/2005,66.87
9/5/2005,66.84
9/6/2005,66.83
9/7/2005,66.92
9/8/2005,66.9
9/9/2005,66.94
9/10/2005,66.94
9/11/2005,66.93
9/12/2005,66.94
9/13/2005,66.94
9/14/2005,66.94
9/15/2005,66.91
9/16/2005,66.9
9/17/2005,66.88
9/18/2005,66.86
9/19/2005,66.81
9/20/2005,66.77
9/21/2005,66.81
9/22/2005,66.85
9/23/2005,66.88
9/24/2005,66.87
9/25/2005,66.85
9/26/2005,66.86
9/27/2005,66.83
9/28/2005,66.87
9/29/2005,66.93
9/30/2005,66.92
10/1/2005,66.87
10/2/2005,66.87
10/3/2005,66.86
10/4/2005,66.83
10/5/2005,66.9
10/6/2005,66.93
10/7/2005,66.96
10/8/2005,66.98
10/9/2005,66.96
10/10/2005,66.95
10/11/2005,66.91
10/12/2005,66.9
10/13/2005,66.89
10/14/2005,66.89
10/15/2005,66.88
10/16/2005,66.89
10/17/2005,66.87
10/18/2005,66.86
10/19/2005,66.85
10/20/2005,66.87
10/21/2005,66.91
10/22/2005,66.91
10/23/2005,66.87
10/24/2005,66.94
10/25/2005,67.12
10/26/2005,67.09
10/27/2005,67.09
10/28/2005,67.07
10/29/2005,67.03
10/30/2005,67.04
10/31/2005,67.05
11/1/2005,67.08
11/2/2005,67.13
11/3/2005,67.12
11/4/2005,67.13
11/5/2005,67.13
11/6/2005,67.13
11/7/2005,67.12
11/8/2005,67.11
11/9/2005,67.13
11/10/2005,67.14
11/11/2005,67.09
11/12/2005,67.09
11/13/2005,67.1
11/14/2005,67.09
11/15/2005,67.1
11/16/2005,67.11
11/17/2005,67.07
11/18/2005,67.03
11/19/2005,67.05
11/20/2005,67.07
11/21/2005,67.18
11/22/2005,67.11
11/23/2005,67.05
11/24/2005,67.08
11/25/2005,67.04
11/26/2005,67.03
11/27/2005,67.05
11/28/2005,67.05
11/29/2005,67.1
11/30/2005,67.08
12/1/2005,67.07
12/2/2005,67.05
12/3/2005,67.06
12/4/2005,67.06
12/5/2005,67.08
12/6/2005,67.01
12/7/2005,67.01
12/8/2005,67.07
12/9/2005,67.15
12/10/2005,67.16
12/11/2005,67.17
12/12/2005,67.16
12/13/2005,67.14
12/14/2005,67.15
12/15/2005,67.2
12/16/2005,67.19
12/17/2005,67.19
12/18/2005,67.18
12/19/2005,67.16
12/20/2005,67.2
12/21/2005,67.19
12/22/2005,67.17
12/23/2005,67.18
12/24/2005,67.19
12/25/2005,67.25
12/26/2005,67.22
12/27/2005,67.19
12/28/2005,67.21
12/29/2005,67.24
12/30/2005,67.19
12/31/2005,67.19
